number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lr,params_memory_limit,params_noise_std,params_noise_type,params_normalize_observations,params_normalize_returns,state
56,2.556908369064331,2020-06-20 23:40:23.221831,2020-06-21 06:18:11.808951,0 days 06:37:48.587120000,256,0.95,0.00044891728161392094,10000,0.6082044187705395,adaptive-param,True,True,COMPLETE
57,0.8221179842948914,2020-06-20 23:40:43.169530,2020-06-21 06:15:21.663459,0 days 06:34:38.493929000,256,0.9999,0.00042135897062473124,10000,0.6060595303615914,ornstein-uhlenbeck,True,True,COMPLETE
58,2.676243543624878,2020-06-20 23:54:25.439175,2020-06-21 01:19:43.900463,0 days 01:25:18.461288000,16,0.9999,0.0004852270011308752,10000,0.252387135453854,ornstein-uhlenbeck,True,True,COMPLETE
59,3.442018985748291,2020-06-21 00:17:23.823279,2020-06-21 01:41:10.969105,0 days 01:23:47.145826000,16,0.9999,4.537057504224268e-05,10000,0.5791295888028546,ornstein-uhlenbeck,True,True,COMPLETE
60,8.95750617980957,2020-06-21 00:30:31.992856,2020-06-21 00:57:17.908281,0 days 00:26:45.915425000,16,0.95,0.005962925013712325,10000,0.2624331019645167,ornstein-uhlenbeck,True,True,PRUNED
61,0.8999101519584656,2020-06-21 00:43:29.911148,2020-06-21 03:25:56.254456,0 days 02:42:26.343308000,64,0.99,3.8888608820502446e-05,10000,0.6133646366019674,normal,True,True,COMPLETE
62,0.5518576502799988,2020-06-21 00:57:19.324230,2020-06-21 03:41:22.205486,0 days 02:44:02.881256000,64,0.99,4.4178600033370067e-05,10000,0.6202008516414005,ornstein-uhlenbeck,True,True,COMPLETE
63,0.34909915924072266,2020-06-21 00:58:05.930836,2020-06-21 03:41:46.115656,0 days 02:43:40.184820000,64,0.99,5.3620638564895167e-05,10000,0.68941851630933,ornstein-uhlenbeck,True,True,COMPLETE
64,1.5881901979446411,2020-06-21 00:58:30.114404,2020-06-21 03:41:14.482736,0 days 02:42:44.368332000,64,0.99,5.248372562962519e-05,10000,0.6108040880256915,ornstein-uhlenbeck,True,True,COMPLETE
65,2.799797534942627,2020-06-21 00:58:59.704222,2020-06-21 03:41:03.316360,0 days 02:42:03.612138000,64,0.99,3.4931601540896394e-05,10000,0.7020096992371421,ornstein-uhlenbeck,True,True,COMPLETE
