number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_n_sampled_goal,params_net_arch,params_random_exploration,params_target_entropy,params_train_freq,state
65,0.8228452801704407,2020-06-30 10:47:53.596378,2020-06-30 11:23:14.787738,0 days 00:35:21.191360000,256,100000,0.5,0.9,20000,2.0237818671324006e-05,1,medium,0.25682007771146026,,1,COMPLETE
66,0.9611232876777649,2020-06-30 11:23:14.789253,2020-06-30 11:40:58.122371,0 days 00:17:43.333118000,64,10000,0.5,0.9,20000,2.1020945712574792e-05,1,medium,0.5181273220980935,,1,COMPLETE
67,1.961267113685608,2020-06-30 11:40:58.123802,2020-06-30 12:24:56.294735,0 days 00:43:58.170933000,256,100000,0.5,0.9,1000,1.6879094170686855e-05,1,medium,0.6693579851529821,,1,COMPLETE
68,1.3427139520645142,2020-06-30 12:24:56.296298,2020-06-30 13:00:36.686744,0 days 00:35:40.390446000,256,100000,0.5,0.9,20000,0.00023170450936887914,1,medium,0.7386663938017264,,300,COMPLETE
69,2.57582426071167,2020-06-30 13:00:36.688374,2020-06-30 13:16:00.877333,0 days 00:15:24.188959000,256,100000,0.5,0.9999,0,5.346600201989605e-05,1,medium,0.6070182496035169,,1,PRUNED
70,2.1404647827148438,2020-06-30 13:16:01.065008,2020-06-30 13:52:27.805591,0 days 00:36:26.740583000,256,100000,0.05,0.98,20000,0.0038556778494185542,8,medium,0.4258869386867816,,1,COMPLETE
71,1.9571861028671265,2020-06-30 13:52:27.807168,2020-06-30 14:01:10.473958,0 days 00:08:42.666790000,256,1000000,auto,0.95,20000,1.065942453295353e-05,1,big,0.25987132628109055,-10,1,PRUNED
72,2.017767906188965,2020-06-30 14:01:10.665169,2020-06-30 14:15:06.950364,0 days 00:13:56.285195000,256,100000,auto,0.95,20000,4.6752191749243534e-05,1,big,0.15728778053943898,auto,1,PRUNED
73,6.918172359466553,2020-06-30 14:15:07.195926,2020-06-30 14:18:33.720589,0 days 00:03:26.524663000,256,1000000,0.0001,0.99,20000,7.575680430423782e-05,1,small,0.5397233137018959,,1,PRUNED
74,2.5049667358398438,2020-06-30 14:18:33.930328,2020-06-30 14:34:36.993851,0 days 00:16:03.063523000,512,1000000,auto,0.99,20000,0.009386371361465756,1,medium,0.6956791857417954,-50,100,PRUNED
75,0.8999649882316589,2020-06-30 14:34:37.217834,2020-06-30 14:53:30.716535,0 days 00:18:53.498701000,64,10000,auto,0.995,20000,0.30386309820798213,1,medium,0.3770920114693101,auto,1,COMPLETE
76,4.7631425857543945,2020-06-30 14:53:30.718243,2020-06-30 15:30:48.444655,0 days 00:37:17.726412000,256,10000,0.5,0.995,20000,0.5120914554126285,4,medium,0.3804938769801964,,1,PRUNED
77,3.677428722381592,2020-06-30 15:30:48.625281,2020-06-30 15:54:19.296136,0 days 00:23:30.670855000,512,100000,auto,0.99,20000,4.1017210277751283e-05,1,big,0.5941212948123653,-10,1,PRUNED
78,2.5027289390563965,2020-06-30 15:54:19.510343,2020-06-30 16:17:20.635893,0 days 00:23:01.125550000,64,10000,auto,0.9,20000,0.002266490607115722,1,medium,0.4473296332467439,auto,1,COMPLETE
79,3.7680087089538574,2020-06-30 16:17:20.637614,2020-06-30 16:52:38.948675,0 days 00:35:18.311061000,128,1000000,0.05,0.99,10000,0.00011627021798056162,2,big,0.20282754765159136,,1,COMPLETE
80,1.0221723318099976,2020-06-30 16:52:38.950286,2020-06-30 17:08:40.194076,0 days 00:16:01.243790000,16,1000000,auto,0.99,20000,1.5632607757130553e-05,1,big,0.02522682791258149,-20,1,COMPLETE
81,0.8999649882316589,2020-06-30 17:08:40.195673,2020-06-30 18:24:36.869528,0 days 01:15:56.673855000,512,1000000,auto,0.95,20000,0.04078730905815277,1,big,0.18418087850927362,-20,1,COMPLETE
82,0.8999649882316589,2020-06-30 18:24:36.871038,2020-06-30 19:43:56.003386,0 days 01:19:19.132348000,512,1000000,auto,0.95,20000,0.03495855606051688,1,big,0.180526773621631,auto,1,COMPLETE
83,0.8999649882316589,2020-06-30 19:43:56.004984,2020-06-30 20:00:35.605200,0 days 00:16:39.600216000,32,1000000,auto,0.999,20000,0.12126483461161311,1,big,0.28096323757174396,auto,1,COMPLETE
84,0.8999649882316589,2020-06-30 20:00:35.606867,2020-06-30 21:20:55.434892,0 days 01:20:19.828025000,512,1000000,auto,0.999,20000,0.025011838635583088,1,big,0.26372671972649475,-50,1,COMPLETE
85,4.795297622680664,2020-06-30 21:20:55.436528,2020-06-30 21:38:06.182205,0 days 00:17:10.745677000,32,1000000,0.1,0.99,20000,0.47531284726479356,1,big,0.24258888141246013,,10,COMPLETE
86,1.401199460029602,2020-06-30 21:38:06.183729,2020-06-30 23:07:49.077723,0 days 01:29:42.893994000,512,1000000,auto,0.98,1000,0.1665092148758062,6,big,0.3003782285171697,-50,1,COMPLETE
87,2.1055855751037598,2020-06-30 23:07:49.079300,2020-06-30 23:24:41.919278,0 days 00:16:52.839978000,32,100000,auto,0.9,0,0.0005724519573727768,1,big,0.12098231169427942,-1,1,COMPLETE
88,1.0284883975982666,2020-06-30 23:24:41.920821,2020-06-30 23:35:18.862008,0 days 00:10:36.941187000,256,1000000,0.01,0.999,20000,0.05742809585931489,1,small,0.3110806364141293,,300,COMPLETE
89,6.844338417053223,2020-06-30 23:35:18.863519,2020-06-30 23:37:55.828444,0 days 00:02:36.964925000,32,1000000,0.0001,0.9999,20000,0.017092661256364116,1,big,0.21907470398848244,,1,PRUNED
90,0.6859310269355774,2020-06-30 23:37:55.999910,2020-06-30 23:51:13.282597,0 days 00:13:17.282687000,32,1000000,0.05,0.9999,20000,2.3462185225332566e-05,1,medium,0.21100984195093309,,100,COMPLETE
91,0.9019907116889954,2020-06-30 23:51:13.284112,2020-07-01 00:07:24.704990,0 days 00:16:11.420878000,32,1000000,0.05,0.99,20000,2.1971468779388436e-05,1,medium,0.10204572700667447,,100,COMPLETE
92,0.9499934315681458,2020-07-01 00:07:24.706619,2020-07-01 00:23:38.964696,0 days 00:16:14.258077000,32,1000000,0.05,0.99,20000,3.550066265633029e-05,1,medium,0.48236613064983574,,100,COMPLETE
93,0.9702681303024292,2020-07-01 00:23:38.966330,2020-07-01 01:02:43.451839,0 days 00:39:04.485509000,256,10000,0.05,0.995,20000,2.487568834976354e-05,1,medium,0.05947892708070769,,100,COMPLETE
94,4.1180009841918945,2020-07-01 01:02:43.453236,2020-07-01 01:21:44.202423,0 days 00:19:00.749187000,64,100000,0.05,0.995,20000,1.0466051238650636e-05,1,medium,0.0645773197568508,,100,COMPLETE
95,0.8999649882316589,2020-07-01 01:21:44.204060,2020-07-01 02:26:46.488926,0 days 01:05:02.284866000,512,1000000,auto,0.95,20000,0.04573751104591279,1,medium,0.1639024804512041,auto,100,COMPLETE
96,3.180119037628174,2020-07-01 02:26:46.490576,2020-07-01 02:30:35.859200,0 days 00:03:49.368624000,32,1000000,0.5,0.9999,20000,0.6180083910835399,8,big,0.002309410841119519,,1,PRUNED
97,0.8999649882316589,2020-07-01 02:30:36.206925,2020-07-01 03:16:17.001014,0 days 00:45:40.794089000,256,10000,auto,0.995,20000,0.3147407907461578,1,medium,0.35005150051962347,-20,1,COMPLETE
98,3.4406094551086426,2020-07-01 03:16:17.002614,2020-07-01 03:35:24.249320,0 days 00:19:07.246706000,32,1000000,0.05,0.9999,20000,1.7598233287180524e-05,1,big,0.6439789470590788,,1,PRUNED
99,1.5410040616989136,2020-07-01 03:35:24.496073,2020-07-01 03:55:42.560184,0 days 00:20:18.064111000,32,1000000,auto,0.9999,20000,0.40630935386301403,4,medium,0.2425530796947285,-20,1,COMPLETE
