number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_lr,params_n_sampled_goal,params_net_arch,params_random_exploration,params_target_entropy,params_train_freq,state
80,1.6301883459091187,2020-06-25 22:49:13.579940,2020-06-26 00:58:54.315554,0 days 02:09:40.735614000,16,10000,0.1,0.98,0,0.005241431000531154,6,small,0.578108942269203,,100,COMPLETE
81,3.592947006225586,2020-06-25 22:59:29.553502,2020-06-26 04:51:56.703765,0 days 05:52:27.150263000,128,10000,0.1,0.98,0,0.005163874930917845,6,small,0.5400317148150613,,100,COMPLETE
82,1.5454667806625366,2020-06-25 23:13:35.534026,2020-06-26 03:52:07.323446,0 days 04:38:31.789420000,128,10000,0.1,0.98,0,0.006045081967193435,6,small,0.562404156779132,,300,PRUNED
83,1.664878487586975,2020-06-25 23:25:23.594610,2020-06-26 00:12:17.538700,0 days 00:46:53.944090000,16,10000,0.1,0.9999,0,0.00018631009090474198,6,small,0.5866305434512984,,300,PRUNED
84,2.0995638370513916,2020-06-25 23:30:52.600912,2020-06-26 01:41:28.743859,0 days 02:10:36.142947000,16,10000,0.1,0.9999,0,0.0057867860385881365,6,small,0.5548321071719607,,300,COMPLETE
85,0.7440406084060669,2020-06-25 23:32:46.053432,2020-06-26 01:41:24.932052,0 days 02:08:38.878620000,16,10000,0.1,0.9,0,0.006135775412574583,6,small,0.5550884254042647,,300,COMPLETE
86,2.191037893295288,2020-06-26 00:01:15.806368,2020-06-26 00:48:43.412715,0 days 00:47:27.606347000,16,10000,0.1,0.98,0,0.0036161367303044058,6,medium,0.5674667758209121,,300,PRUNED
87,2.4008567333221436,2020-06-26 00:12:19.788892,2020-06-26 02:55:32.537905,0 days 02:43:12.749013000,128,100000,0.1,0.98,0,0.006891908297642938,6,medium,0.5202535629803497,,300,PRUNED
88,5.887325286865234,2020-06-26 00:35:36.276212,2020-06-26 01:25:29.483568,0 days 00:49:53.207356000,16,100000,auto,0.9,0,0.005669754073316995,8,medium,0.27936721663260417,auto,300,PRUNED
89,3.023132085800171,2020-06-26 00:48:45.717494,2020-06-26 03:30:15.477710,0 days 02:41:29.760216000,128,100000,auto,0.9,0,0.0060311910259986225,8,medium,0.28179559592055503,auto,300,PRUNED
90,0.6198565363883972,2020-06-26 00:49:52.132157,2020-06-26 05:41:55.848067,0 days 04:52:03.715910000,128,100000,auto,0.9,0,0.006067431563503147,8,medium,0.2657959457722618,-1,300,COMPLETE
91,0.4659159779548645,2020-06-26 00:55:14.978413,2020-06-26 05:44:20.720592,0 days 04:49:05.742179000,128,100000,auto,0.9,0,0.006359211223759807,8,medium,0.5039557788414641,-10,300,COMPLETE
92,2.6298468112945557,2020-06-26 00:56:49.861805,2020-06-26 02:21:02.142441,0 days 01:24:12.280636000,128,100000,auto,0.9,20000,0.006523102092532063,8,small,0.2839894528445099,auto,300,PRUNED
93,8.810396194458008,2020-06-26 00:58:54.321510,2020-06-26 02:20:38.783306,0 days 01:21:44.461796000,128,100000,auto,0.9,20000,0.009997160767600426,8,small,0.276612295451725,-50,300,PRUNED
94,3.7935633659362793,2020-06-26 01:25:32.194513,2020-06-26 03:09:01.077218,0 days 01:43:28.882705000,128,100000,auto,0.999,20000,0.00029510593683737757,1,small,0.5104772217240667,-100,300,PRUNED
95,2.155524730682373,2020-06-26 01:41:24.945485,2020-06-26 02:44:41.539585,0 days 01:03:16.594100000,128,100000,auto,0.999,20000,0.010181140979903651,1,small,0.16069318001905716,-10,300,PRUNED
96,4.321467399597168,2020-06-26 01:41:28.750245,2020-06-26 05:17:08.862960,0 days 03:35:40.112715000,128,100000,auto,0.999,20000,0.00027503613609254255,1,big,0.5065416900548816,-20,300,COMPLETE
97,1.3466863632202148,2020-06-26 01:57:19.630962,2020-06-26 02:57:30.941447,0 days 01:00:11.310485000,128,100000,auto,0.999,20000,0.000281621025506815,1,big,0.4749164949805185,-20,300,PRUNED
98,2.1904208660125732,2020-06-26 02:20:41.612539,2020-06-26 03:20:54.910904,0 days 01:00:13.298365000,128,100000,0.0001,0.999,20000,0.00032342615707796953,1,big,0.49729650996981867,,10,PRUNED
99,1.543625831604004,2020-06-26 02:21:04.916595,2020-06-26 03:23:52.098411,0 days 01:02:47.181816000,128,1000000,auto,0.999,20000,0.0002684886573636041,1,big,0.5131171623554664,-50,10,PRUNED
