number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_lr,params_n_sampled_goal,params_noise_std,params_noise_type,params_random_exploration,params_train_freq,state
68,1.6414072513580322,2020-06-28 00:48:13.730344,2020-06-28 22:33:54.048435,0 days 21:45:40.318091000,512,10000,0.995,9.033826427851383e-05,8,0.054065506079727765,normal,0.39711193149601676,100,COMPLETE
69,8.414267539978027,2020-06-28 01:38:00.210687,2020-06-28 23:26:53.211709,0 days 21:48:53.001022000,512,10000,0.98,7.540396709722078e-05,8,0.4000046534149229,normal,0.3921137618715643,1000,COMPLETE
70,0.30339375138282776,2020-06-28 03:14:18.652093,2020-06-29 00:08:20.766361,0 days 20:54:02.114268000,512,10000,0.98,9.22743330546913e-05,8,0.10168745317610153,normal,0.41187659286216083,1000,COMPLETE
71,1.6360104084014893,2020-06-28 03:54:26.631681,2020-06-29 00:27:41.370168,0 days 20:33:14.738487000,512,10000,0.98,5.427911227645857e-05,8,0.3946148521501566,normal,0.3936726688499299,1000,COMPLETE
72,2.161693572998047,2020-06-28 04:20:09.783973,2020-06-29 00:45:22.714709,0 days 20:25:12.930736000,512,10000,0.98,6.85347647330156e-05,6,0.35611437337288354,normal,0.39561842700523076,10,COMPLETE
73,3.7111849784851074,2020-06-28 05:43:46.708806,2020-06-29 01:01:38.283658,0 days 19:17:51.574852000,512,10000,0.95,6.486397282904592e-05,6,0.40939202244416995,normal,0.6595275373076536,10,COMPLETE
74,8.434966087341309,2020-06-28 06:10:30.506958,2020-06-29 01:21:33.785000,0 days 19:11:03.278042000,512,10000,0.995,7.368760975244649e-05,8,0.4139114979747162,normal,0.6822520467478537,100,COMPLETE
75,1.3409618139266968,2020-06-28 06:12:38.724364,2020-06-29 01:29:10.750713,0 days 19:16:32.026349000,512,1000000,0.98,7.123278287157982e-05,8,0.08431057559155716,normal,0.6948257370228978,100,COMPLETE
76,8.308199882507324,2020-06-28 06:22:25.318627,2020-06-28 14:01:54.370334,0 days 07:39:29.051707000,512,1000000,0.98,6.926598179291131e-05,8,0.0875064845780873,normal,0.6888717435445301,100,PRUNED
77,3.1451315879821777,2020-06-28 06:34:32.925810,2020-06-29 02:00:07.200580,0 days 19:25:34.274770000,512,1000000,0.98,6.209063970618913e-05,8,0.0832409028058757,normal,0.6957365590622266,100,COMPLETE
78,1.5242960453033447,2020-06-28 06:36:40.592042,2020-06-29 01:37:24.790257,0 days 19:00:44.198215000,512,1000000,0.98,7.003972740090643e-05,6,0.08753166126539685,normal,0.7047253156203841,100,COMPLETE
79,2.8103837966918945,2020-06-28 08:34:58.775896,2020-06-29 02:07:17.254622,0 days 17:32:18.478726000,512,1000000,0.98,6.366892560927068e-05,6,0.061402775829052486,normal,0.651955015828907,100,COMPLETE
80,1.8848520517349243,2020-06-28 09:15:16.600246,2020-06-29 02:24:31.306777,0 days 17:09:14.706531000,512,1000000,0.98,5.5681761095612516e-05,6,0.6606183520357822,normal,0.6665113836327329,100,COMPLETE
81,7.9737868309021,2020-06-28 09:43:13.310005,2020-06-29 02:21:28.132617,0 days 16:38:14.822612000,512,1000000,0.98,6.174546726876086e-05,6,0.6744236699035152,normal,0.6613742228176979,1000,COMPLETE
82,8.31104564666748,2020-06-28 09:47:18.250254,2020-06-29 02:30:08.499377,0 days 16:42:50.249123000,512,1000000,0.98,9.109059837838854e-05,6,0.690290970755751,normal,0.7359848550024175,100,COMPLETE
83,3.2422897815704346,2020-06-28 13:20:01.438530,2020-06-29 02:47:46.314388,0 days 13:27:44.875858000,512,1000000,0.98,6.867545828607767e-05,6,0.6610972556081769,normal,0.705126157833979,100,COMPLETE
84,4.586335182189941,2020-06-28 14:01:57.246208,2020-06-29 02:56:04.583288,0 days 12:54:07.337080000,512,1000000,0.98,6.0910653133852955e-05,6,0.6817126951971213,normal,0.9131343435656007,100,COMPLETE
85,3.26715087890625,2020-06-28 14:25:35.119971,2020-06-29 02:55:17.913717,0 days 12:29:42.793746000,512,1000000,0.98,6.617026429638375e-05,6,0.7203411282856043,normal,0.6502796290900013,1000,COMPLETE
86,3.187180757522583,2020-06-28 15:55:49.864096,2020-06-29 03:00:38.428805,0 days 11:04:48.564709000,512,1000000,0.98,6.741472292582549e-05,6,0.41629796924266443,normal,0.6596322519093203,1000,COMPLETE
87,2.0411758422851562,2020-06-28 16:47:43.235913,2020-06-29 03:00:06.317947,0 days 10:12:23.082034000,512,1000000,0.98,0.007204576203650101,4,0.41964025751711065,normal,0.745350372315619,100,COMPLETE
88,8.480514526367188,2020-06-28 17:29:52.511525,2020-06-28 19:00:44.903754,0 days 01:30:52.392229000,16,100000,0.98,5.121092644463058e-05,4,0.10114924371344347,normal,0.7321274689204622,100,COMPLETE
89,8.218585014343262,2020-06-28 17:38:20.970246,2020-06-28 18:10:12.391012,0 days 00:31:51.420766000,16,10000,0.98,6.262728591349047e-05,4,0.41221962654646227,normal,0.9215159052138098,100,PRUNED
90,1.6377032995224,2020-06-28 17:55:41.976339,2020-06-28 19:26:58.669988,0 days 01:31:16.693649000,16,100000,0.98,5.52639817909821e-05,4,0.417650369251388,normal,0.7542866701607577,1,COMPLETE
91,8.31235408782959,2020-06-28 18:10:13.981154,2020-06-28 23:52:33.337706,0 days 05:42:19.356552000,128,100000,0.98,4.32370953009114e-05,6,0.12146327984439276,normal,0.7520878040562884,1,COMPLETE
92,1.6658179759979248,2020-06-28 18:14:10.293863,2020-06-29 03:01:37.147055,0 days 08:47:26.853192000,512,1000000,0.98,0.0019218277556459916,6,0.08382555210396338,normal,0.7610818143629374,1000,COMPLETE
93,2.5094151496887207,2020-06-28 19:00:44.935529,2020-06-29 00:26:06.223682,0 days 05:25:21.288153000,128,1000000,0.99,0.009108003935413915,6,0.29147070617421966,normal,0.19776241842281395,1000,COMPLETE
94,8.34750747680664,2020-06-28 19:09:41.213605,2020-06-29 00:39:48.491163,0 days 05:30:07.277558000,128,1000000,0.99,0.0018056165301379324,6,0.9164837107940524,normal,0.23453008267258252,1000,COMPLETE
95,8.428422927856445,2020-06-28 19:24:44.975918,2020-06-29 00:40:43.172918,0 days 05:15:58.197000000,128,1000000,0.99,0.01094273917468213,6,0.9059256729111236,normal,0.6340885037548211,1000,COMPLETE
96,8.428422927856445,2020-06-28 19:26:58.684268,2020-06-29 00:48:35.825614,0 days 05:21:37.141346000,128,1000000,0.99,0.009778524780242057,6,0.9199596359288209,normal,0.19709039317342128,1000,COMPLETE
97,8.428414344787598,2020-06-28 19:29:51.128121,2020-06-29 00:48:32.229253,0 days 05:18:41.101132000,128,1000000,0.99,0.0018538113448969228,6,0.9130923701386695,normal,0.22322812618906313,1000,COMPLETE
98,1.6414072513580322,2020-06-28 19:33:33.701974,2020-06-28 22:55:49.365230,0 days 03:22:15.663256000,64,10000,0.98,0.008888567954553983,6,0.19660114924811467,normal,0.669239483028005,1000,COMPLETE
99,4.368719577789307,2020-06-28 19:41:45.317111,2020-06-28 21:46:47.652330,0 days 02:05:02.335219000,128,10000,0.98,0.007335392472356458,6,0.18714583279534575,normal,0.6637485580402618,1000,PRUNED
