number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
63,0.3684319257736206,2020-06-20 19:39:47.432486,2020-06-20 20:04:17.707540,0 days 00:24:30.275054000,5.617821184873631e-06,0.9,0.00011769446922503513,constant,128,0.0402572101577878,COMPLETE
64,0.40701788663864136,2020-06-20 19:48:36.139556,2020-06-20 19:58:49.907876,0 days 00:10:13.768320000,6.810387680070207e-06,0.9,0.00012595324876983846,constant,128,0.020385302895369384,PRUNED
65,0.5418204665184021,2020-06-20 19:48:43.039072,2020-06-20 19:58:57.280017,0 days 00:10:14.240945000,7.92711072141131e-06,0.9,0.00015689621770298304,constant,128,0.0603632219873973,PRUNED
66,0.37453126907348633,2020-06-20 19:48:45.363742,2020-06-20 20:12:35.876930,0 days 00:23:50.513188000,4.45229004277314e-06,0.9,0.00011643525801249977,constant,128,0.026977013210886615,COMPLETE
67,0.38480430841445923,2020-06-20 19:48:49.942348,2020-06-20 20:12:43.323844,0 days 00:23:53.381496000,7.4628595378811635e-06,0.9,0.00012364044744326658,constant,128,0.05196400535054707,COMPLETE
68,0.3955598771572113,2020-06-20 19:48:54.093531,2020-06-20 19:59:08.201308,0 days 00:10:14.107777000,6.115156389734161e-06,0.9,0.00011805969891415661,constant,128,0.0018904769814998834,PRUNED
69,0.3750010132789612,2020-06-20 19:48:57.840462,2020-06-20 20:12:36.190286,0 days 00:23:38.349824000,1.0871178364686763e-05,0.9,0.00010743041031930912,constant,128,0.004519137923149508,COMPLETE
70,0.48878803849220276,2020-06-20 19:49:01.498176,2020-06-20 19:59:06.158370,0 days 00:10:04.660194000,9.064746665174078e-06,0.95,0.00010630272737970544,constant,64,0.44262002419232377,PRUNED
71,0.4899691045284271,2020-06-20 19:49:07.299688,2020-06-20 20:12:42.715257,0 days 00:23:35.415569000,4.2189345456712375e-05,0.995,9.35383136303391e-05,constant,64,0.432028840150471,COMPLETE
72,0.4552811086177826,2020-06-20 19:49:13.824674,2020-06-20 20:12:57.847789,0 days 00:23:44.023115000,1.0052690683397512e-05,0.995,1.0347385990392499e-05,constant,64,0.42393773019902614,COMPLETE
73,0.35593941807746887,2020-06-20 19:49:18.869684,2020-06-20 20:12:56.015431,0 days 00:23:37.145747000,5.611986405147346e-07,0.995,9.258560075478721e-05,constant,64,0.4375553521399788,COMPLETE
74,0.4342154562473297,2020-06-20 19:49:30.306236,2020-06-20 19:59:32.334318,0 days 00:10:02.028082000,3.7366418073259207e-05,0.98,8.739166986605026e-05,constant,64,0.41472815603624535,PRUNED
75,0.47312527894973755,2020-06-20 19:58:52.518929,2020-06-20 20:09:21.227028,0 days 00:10:28.708099000,3.61032574347501e-05,0.995,8.296078752222746e-05,constant,64,0.4185436356910009,PRUNED
76,0.45354795455932617,2020-06-20 19:58:59.503922,2020-06-20 20:09:29.336127,0 days 00:10:29.832205000,2.7555275354979143e-05,0.995,7.851545852425656e-05,constant,64,0.4341466004878088,PRUNED
77,2.7051849365234375,2020-06-20 19:59:08.201660,2020-06-20 20:09:34.402842,0 days 00:10:26.201182000,5.087513784574999e-07,0.995,0.9817487617813521,constant,64,0.3785214115433123,PRUNED
78,1.0833228826522827,2020-06-20 19:59:08.405624,2020-06-20 20:09:40.260003,0 days 00:10:31.854379000,4.998503588635829e-07,0.995,0.006240406481088255,constant,64,0.3784851772570379,PRUNED
79,1.056962251663208,2020-06-20 19:59:37.786285,2020-06-20 20:09:57.775216,0 days 00:10:19.988931000,4.2435306823577625e-07,0.995,0.8327763401465721,constant,32,0.35831829736002657,PRUNED
80,0.3997983932495117,2020-06-20 20:02:35.698528,2020-06-20 20:12:21.778948,0 days 00:09:46.080420000,6.194248049822654e-07,0.995,2.3131758911980828e-05,constant,32,0.3595325525533577,PRUNED
81,0.4910908341407776,2020-06-20 20:02:35.722881,2020-06-20 20:12:18.516709,0 days 00:09:42.793828000,4.782706165571513e-07,0.995,2.485375635546019e-05,constant,32,0.28472059330640503,PRUNED
82,1.757091760635376,2020-06-20 20:02:36.543328,2020-06-20 20:12:11.987312,0 days 00:09:35.443984000,2.5795703670892225e-05,0.995,0.00034913448221946745,constant,32,0.13815855553936557,PRUNED
83,0.7071781158447266,2020-06-20 20:02:44.466191,2020-06-20 20:12:29.861174,0 days 00:09:45.394983000,4.982817797976962e-07,0.995,0.00041235214563250004,constant,32,0.15198942107046512,PRUNED
84,0.5948160886764526,2020-06-20 20:02:53.032109,2020-06-20 20:12:27.472765,0 days 00:09:34.440656000,2.089122133417218e-05,0.995,0.0005845522733296895,constant,64,0.15004403453985002,PRUNED
85,0.38697192072868347,2020-06-20 20:03:03.659801,2020-06-20 20:15:50.743885,0 days 00:12:47.084084000,5.186736538083574e-07,0.995,0.0006364435993219111,constant,2048,0.15367124399279175,COMPLETE
86,0.36809295415878296,2020-06-20 20:03:06.724256,2020-06-20 20:15:53.613432,0 days 00:12:46.889176000,6.484768460408622e-07,0.995,0.8091669578077294,constant,2048,0.1297485164754151,COMPLETE
