number,value,datetime_start,datetime_complete,duration,params_cg_iters,params_ent_coef,params_gamma,params_lamdba,params_max_kl,params_timesteps_per_batch,params_vf_iters,params_vf_stepsize,state
68,2.489588975906372,2020-06-26 01:49:51.145238,2020-06-26 01:50:44.066741,0 days 00:00:52.921503000,10,3.6028244346075227e-07,0.9999,0.99,0.120069310206117,32,10,0.0002528802998389429,PRUNED
69,1.4768877029418945,2020-06-26 01:50:44.949714,2020-06-26 01:52:13.036192,0 days 00:01:28.086478000,10,3.0756151041852235e-08,0.995,0.99,0.0031716570403526627,2048,10,0.0001291032645773957,COMPLETE
70,1.497652530670166,2020-06-26 01:52:13.037168,2020-06-26 01:53:57.028511,0 days 00:01:43.991343000,30,9.64916687622471e-08,0.9999,0.99,4.017978009254768e-06,1024,20,0.09037533595447753,COMPLETE
71,1.6793620586395264,2020-06-26 01:53:57.029465,2020-06-26 01:55:26.375882,0 days 00:01:29.346417000,10,3.467258214378732e-08,0.995,0.99,0.0036563312080906563,2048,10,0.00014308834106367192,COMPLETE
72,1.5279901027679443,2020-06-26 01:55:26.376879,2020-06-26 01:56:55.614858,0 days 00:01:29.237979000,10,1.531061381414366e-08,0.995,0.99,0.008312428043881074,2048,10,0.0001070623503253967,COMPLETE
73,2.4222567081451416,2020-06-26 01:56:55.615864,2020-06-26 01:57:27.694528,0 days 00:00:32.078664000,10,5.755274286017912e-08,0.995,0.99,0.004669213188927301,2048,10,0.0005064047390039878,PRUNED
74,2.2519423961639404,2020-06-26 01:57:28.651009,2020-06-26 01:58:57.679680,0 days 00:01:29.028671000,10,2.045682638757481e-08,0.995,0.99,0.011535045154829447,2048,10,0.005250121283223384,COMPLETE
75,1.7497056722640991,2020-06-26 01:58:57.680621,2020-06-26 02:00:26.787704,0 days 00:01:29.107083000,10,2.8555191072253976e-07,0.9999,0.99,0.0003358118260120849,2048,10,0.000333702699943868,COMPLETE
76,2.559746265411377,2020-06-26 02:00:26.788669,2020-06-26 02:01:01.907766,0 days 00:00:35.119097000,10,1.679611895637477e-06,0.9999,0.98,0.0004155960215611494,256,10,0.0015604647385075545,PRUNED
77,2.200324535369873,2020-06-26 02:01:02.958772,2020-06-26 02:02:21.225341,0 days 00:01:18.266569000,10,1.3522986687523712e-07,0.95,0.99,0.0008590220688478975,16,10,7.706094310017194e-05,PRUNED
78,1.6015536785125732,2020-06-26 02:02:22.317805,2020-06-26 02:03:54.552909,0 days 00:01:32.235104000,30,1.0246895627711984e-08,0.9,0.99,0.043684172338889896,2048,10,0.028033407178302945,COMPLETE
79,1.8683269023895264,2020-06-26 02:03:54.553917,2020-06-26 02:05:23.956307,0 days 00:01:29.402390000,10,0.06640550515594663,0.999,0.92,0.0013051255360872031,2048,10,0.0008357236785927516,COMPLETE
80,2.5720152854919434,2020-06-26 02:05:23.957280,2020-06-26 02:06:43.979660,0 days 00:01:20.022380000,10,7.229037983613182e-08,0.99,1.0,4.89697613209029e-05,2048,1,4.0633158402048906e-05,COMPLETE
81,1.6793620586395264,2020-06-26 02:06:43.980664,2020-06-26 02:08:13.430516,0 days 00:01:29.449852000,10,3.778297134013633e-08,0.9999,0.99,0.002850973500111326,2048,10,0.0005031905781023658,COMPLETE
82,1.5506070852279663,2020-06-26 02:08:13.431536,2020-06-26 02:09:42.655023,0 days 00:01:29.223487000,10,1.671439623393202e-07,0.9999,0.99,0.00013514317356675844,2048,10,0.010215349820354764,COMPLETE
83,1.65966796875,2020-06-26 02:09:42.655998,2020-06-26 02:11:12.014408,0 days 00:01:29.358410000,10,8.120628112787057e-07,0.9999,0.99,2.040498322109114e-05,2048,10,0.0024672257236842345,COMPLETE
84,1.4552459716796875,2020-06-26 02:11:12.015421,2020-06-26 02:12:41.566639,0 days 00:01:29.551218000,10,1.523804537440265e-08,0.9999,0.99,0.00021014980231945035,2048,10,0.003792623134306499,COMPLETE
85,1.6775470972061157,2020-06-26 02:12:41.567640,2020-06-26 02:14:12.133586,0 days 00:01:30.565946000,10,1.5705463676941524e-08,0.9999,0.99,7.389509527542799e-05,4096,10,0.0034709238984399543,COMPLETE
86,4.570519924163818,2020-06-26 02:14:12.134580,2020-06-26 02:15:36.298298,0 days 00:01:24.163718000,10,1.2763784220381436e-06,0.9999,0.95,0.00023708172872952474,2048,5,0.0011326499229724605,COMPLETE
87,2.8919129371643066,2020-06-26 02:15:36.299284,2020-06-26 02:16:06.279996,0 days 00:00:29.980712000,30,2.808686431820727e-08,0.95,0.99,0.001725622015914764,2048,3,0.007955902196695314,PRUNED
88,2.259181499481201,2020-06-26 02:16:07.514073,2020-06-26 02:16:46.142857,0 days 00:00:38.628784000,10,1.1162091180344358e-08,0.98,0.9,3.594735331113349e-05,128,10,0.019694494852842456,PRUNED
89,2.040426731109619,2020-06-26 02:16:47.269773,2020-06-26 02:18:15.889829,0 days 00:01:28.620056000,10,2.096430943449295e-08,0.995,0.99,9.975986057094963e-05,2048,10,2.474910533910258e-05,COMPLETE
90,3.888291120529175,2020-06-26 02:18:15.890806,2020-06-26 02:18:49.404902,0 days 00:00:33.514096000,20,2.3792537380361373e-07,0.9999,0.8,0.0003917938658934196,512,10,0.0019406012560294647,PRUNED
91,1.9492298364639282,2020-06-26 02:18:50.590175,2020-06-26 02:20:19.993404,0 days 00:01:29.403229000,10,3.772698843691295e-08,0.9999,0.99,0.0005116139173774681,2048,10,0.0002957450707412438,COMPLETE
92,3.353466033935547,2020-06-26 02:20:19.994421,2020-06-26 02:20:52.141458,0 days 00:00:32.147037000,10,1.0083919261640406e-08,0.9999,0.99,0.0008580901406373385,2048,10,0.005561648579404975,PRUNED
93,1.4834496974945068,2020-06-26 02:20:53.216053,2020-06-26 02:22:22.794458,0 days 00:01:29.578405000,10,8.054002316144826e-08,0.9999,0.99,0.00016816891639876406,2048,10,0.0001605193386859426,COMPLETE
94,1.5072755813598633,2020-06-26 02:22:22.795439,2020-06-26 02:23:52.458655,0 days 00:01:29.663216000,10,4.643176326266898e-07,0.9999,0.99,0.005122951070463008,2048,10,0.004125391338089585,COMPLETE
95,1.2399187088012695,2020-06-26 02:23:52.459619,2020-06-26 02:25:22.166340,0 days 00:01:29.706721000,10,1.5438074751160613e-08,0.9999,0.99,1.5161978168826112e-06,2048,10,0.000742526871858349,COMPLETE
96,5.480660915374756,2020-06-26 02:25:22.167349,2020-06-26 02:27:26.360702,0 days 00:02:04.193353000,15,1.7703689803086692e-08,0.9999,0.99,1.564500218931263e-06,64,10,0.0007854784296907092,COMPLETE
97,1.5815273523330688,2020-06-26 02:27:26.361703,2020-06-26 02:28:48.856773,0 days 00:01:22.495070000,10,2.671304850825833e-08,0.95,0.99,2.5727339067003793e-06,2048,10,0.0016318212517661902,COMPLETE
98,3.4279327392578125,2020-06-26 02:28:48.857671,2020-06-26 02:29:42.343295,0 days 00:00:53.485624000,10,1.098267985701033e-05,0.9999,0.99,4.918340832128851e-06,32,20,0.0004627037623390059,PRUNED
99,1.7700977325439453,2020-06-26 02:29:43.654293,2020-06-26 02:31:14.527107,0 days 00:01:30.872814000,10,1.2978581652124785e-08,0.9999,0.98,8.091361944618609e-06,1024,10,0.0418563507227452,COMPLETE
