seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,timesteps
-2.105088930865683,-2.8281515740306733,-2.6863662981785863,-1.9230281903651862,-3.8544905141484604,-2.1861086370275706,-2.7724155319090116,-3.341599824288138,-3.127295229651591,-2.9618494635322494,3200
-2.7195845751864103,-2.2825872697401812,-3.8672779532082298,-1.6580804401794385,-3.4320602250575156,-1.886018068085989,-1.9574031862639523,-2.655484374118947,-5.738242777049586,-2.1598269209117813,3300
-2.8495409828440814,-3.2979615720162134,-2.2843746276257764,-2.211986095203134,-2.1593002765446103,-3.2419965313335353,-3.1269381295131216,-2.0700912454965623,-3.695435932443981,-2.2250149880073105,3400
-3.0754701324133555,-3.5005664075359673,-1.6966097000635822,-2.457992887487369,-4.4930648790877274,-2.503616969738896,-1.644384477960126,-2.1336956258480106,-3.728832687461445,-3.156134033891521,3500
-3.002683638496612,-4.418588741909865,-3.2380338068239127,-2.7002656671408314,-2.664653408279464,-1.9467838148932408,-4.354216553640395,-2.99632355663655,-3.476963457944757,-2.9941273893471476,3600
-2.5854605730068094,-1.7388754230800398,-3.3933440445166183,-2.8215537852340664,-2.6087616870216674,-5.054666283851319,-2.813499323860589,-3.0971361968959563,-3.2131212080093396,-2.360727837102868,3700
-2.9136711877824206,-2.03851141097659,-3.4333931678170253,-3.406433488701325,-4.384116681093461,-3.062386807875299,-2.463631194090709,-2.8802277301609456,-2.5724924835298113,-2.361205963406494,3800
-3.5754310474120574,-3.17053532728946,-3.1046013397870076,-3.3573715035437033,-2.515281154638155,-3.2891236553242775,-3.0227925690186033,-3.3592871655801098,-2.5244915936425434,-2.8005824397160723,3900
-4.192657785719136,-2.0232093253871763,-2.767604655771996,-2.4970366106994946,-2.202358031926254,-2.366373152179623,-2.945877336250412,-2.5921154921776535,-2.9208301107078465,-3.039244513060593,4000
-3.3678719934383663,-1.9482294125005997,-2.8870854037473226,-2.4086083681775268,-4.768070492259584,-1.9903565609737974,-3.5555561390412795,-4.745383557749573,-2.0533161558518414,-2.208376845956461,4100
-1.9313539357044232,-4.876297979900999,-2.6916572274865187,-3.764684141729772,-4.872588652331249,-2.6103625696570543,-4.010594755461354,-2.910658014507842,-2.7459969623641367,-4.237308540403745,4200
-4.116729705682291,-4.36299556167072,-3.302624170909747,-2.67754031674438,-2.6282398054817535,-1.7581278264606766,-2.454509803204573,-3.11373439795053,-2.762489849999121,-2.7907304421912897,4300
-3.5943866968424203,-2.8891116020727985,-2.368482360596929,-3.8001208765102,-2.05419577897579,-4.1417461241701385,-2.281320647287539,-3.1222633955142403,-5.0408886842220895,-2.9735661471131074,4400
