number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cliprange,params_ent_coef,params_gamma,params_lamdba,params_lr,params_n_steps,params_noptepochs,state
72,0.7061308026313782,2020-06-16 12:21:07.805539,2020-06-16 13:47:08.334671,0 days 01:26:00.529132000,64,0.2,0.037877610478623196,0.99,0.9,4.8642803482597214e-05,64,10,PRUNED
73,1.3615005016326904,2020-06-16 12:21:20.400817,2020-06-16 12:59:01.993665,0 days 00:37:41.592848000,64,0.2,0.04297186961527952,0.99,0.9,7.504395034373239e-05,64,10,PRUNED
74,1.9102957248687744,2020-06-16 12:22:03.774915,2020-06-16 13:03:36.657203,0 days 00:41:32.882288000,64,0.2,0.08010595595720857,0.99,0.9,0.00017872493638558296,64,20,PRUNED
75,1.230672836303711,2020-06-16 12:22:09.742256,2020-06-16 13:03:51.309402,0 days 00:41:41.567146000,64,0.2,0.019762399719265286,0.99,0.9,4.852287349500569e-05,64,20,PRUNED
76,0.5184532403945923,2020-06-16 12:23:09.643442,2020-06-16 14:03:59.991533,0 days 01:40:50.348091000,64,0.2,0.011154764176135775,0.99,0.9,4.575832749812211e-05,16,20,COMPLETE
77,1.5627250671386719,2020-06-16 12:25:40.850983,2020-06-16 14:04:01.804639,0 days 01:38:20.953656000,64,0.2,0.022498458018829402,0.99,0.9,3.420172279001234e-05,16,20,COMPLETE
78,1.5390851497650146,2020-06-16 12:29:44.774306,2020-06-16 13:28:11.178599,0 days 00:58:26.404293000,64,0.2,0.012581101919780091,0.99,0.9,3.1853843260467816e-05,16,20,PRUNED
79,0.39010363817214966,2020-06-16 12:31:50.318801,2020-06-16 14:04:13.308300,0 days 01:32:22.989499000,64,0.2,0.007807353593626232,0.99,0.9,5.3112761382267965e-05,16,20,COMPLETE
80,1.1569993495941162,2020-06-16 12:40:03.935237,2020-06-16 13:36:18.343514,0 days 00:56:14.408277000,32,0.2,0.022004116677526664,0.9,0.9,6.070299341472194e-05,16,20,PRUNED
81,0.36619657278060913,2020-06-16 12:42:41.022676,2020-06-16 14:02:13.619866,0 days 01:19:32.597190000,32,0.2,0.013259732776739624,0.9,0.98,5.9544645660623156e-05,1024,20,COMPLETE
82,3.6609320640563965,2020-06-16 12:42:50.163363,2020-06-16 13:28:04.426754,0 days 00:45:14.263391000,32,0.2,8.281879943521561e-05,0.9,0.9,7.247933329306728e-05,1024,20,PRUNED
83,5.136627674102783,2020-06-16 12:43:01.889231,2020-06-16 13:28:49.911599,0 days 00:45:48.022368000,32,0.2,0.006525444964647847,0.9,1.0,7.26052796895792e-05,1024,20,PRUNED
84,1.1804912090301514,2020-06-16 12:45:33.334467,2020-06-16 13:31:09.683360,0 days 00:45:36.348893000,32,0.2,1.6208802263454766e-06,0.9,0.99,9.077731263436966e-05,1024,20,PRUNED
85,0.867597222328186,2020-06-16 12:46:45.480517,2020-06-16 13:53:34.682061,0 days 01:06:49.201544000,32,0.2,1.6792961870869102e-06,0.9,1.0,5.471530498371186e-05,1024,20,PRUNED
86,1.4040329456329346,2020-06-16 12:49:19.603184,2020-06-16 13:34:29.754948,0 days 00:45:10.151764000,32,0.2,6.686214478084568e-05,0.9,1.0,0.00012827793171161215,1024,20,PRUNED
