number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_vf_coef,state
74,1.4659755229949951,2020-06-23 00:40:04.798416,2020-06-23 00:40:58.294987,0 days 00:00:53.496571000,0.060971592351278456,0.9,0.015653259471700823,constant,1024,0.27345959137797027,COMPLETE
75,0.9269472360610962,2020-06-23 00:40:58.297178,2020-06-23 00:41:39.080700,0 days 00:00:40.783522000,2.176607589703451e-05,0.9,0.0022142602078039537,constant,1024,0.2662537006190464,PRUNED
76,0.9146251678466797,2020-06-23 00:41:39.217422,2020-06-23 00:42:18.085410,0 days 00:00:38.867988000,0.07939857790852989,0.9,0.017325053685794203,constant,1024,0.14030548563885026,PRUNED
77,1.146674633026123,2020-06-23 00:42:18.201160,2020-06-23 00:42:54.989016,0 days 00:00:36.787856000,0.014185778613294907,0.9,0.007034854899755663,constant,2048,0.6533631955902744,PRUNED
78,1.8818248510360718,2020-06-23 00:42:55.160186,2020-06-23 00:43:21.398911,0 days 00:00:26.238725000,0.055819257830526756,0.9,0.012770644369509707,constant,64,0.33428852794476677,PRUNED
79,1.5827504396438599,2020-06-23 00:43:21.532922,2020-06-23 00:43:49.562134,0 days 00:00:28.029212000,6.755637529504346e-05,0.995,0.0013263423093729408,constant,32,0.21703889711732915,PRUNED
80,1.260765790939331,2020-06-23 00:43:49.688187,2020-06-23 00:44:29.007927,0 days 00:00:39.319740000,0.03005939991241875,0.95,0.0029287369386506285,constant,512,0.1750455227445753,PRUNED
81,1.2791011333465576,2020-06-23 00:44:29.121855,2020-06-23 00:45:07.871020,0 days 00:00:38.749165000,0.00414231309895428,0.99,0.06417917337620013,constant,1024,0.36911627255410373,PRUNED
82,1.171973466873169,2020-06-23 00:45:08.056256,2020-06-23 00:45:46.795847,0 days 00:00:38.739591000,0.007682615385019333,0.999,0.028805171699414864,constant,1024,0.25892993621844923,PRUNED
83,1.5473586320877075,2020-06-23 00:45:46.931533,2020-06-23 00:46:27.481910,0 days 00:00:40.550377000,0.013919730583037807,0.9,0.20115579240961354,constant,1024,0.3036437545784616,PRUNED
84,1.1295497417449951,2020-06-23 00:46:27.596698,2020-06-23 00:47:07.920294,0 days 00:00:40.323596000,0.0013375297033035801,0.99,0.004460116231204481,constant,128,0.28324057595882873,PRUNED
85,1.2039825916290283,2020-06-23 00:47:08.081306,2020-06-23 00:47:50.566335,0 days 00:00:42.485029000,2.5349513799148063e-07,0.95,1.6149712944655793e-05,constant,16,0.4927476068650942,PRUNED
86,1.2981574535369873,2020-06-23 00:47:50.706285,2020-06-23 00:48:33.347657,0 days 00:00:42.641372000,0.04031349930730608,0.98,0.4948865987167039,constant,1024,0.3980946217079882,PRUNED
